"uf","descricao"
"MT","NOVA BANDEIRANTES"
"SP","LUTECIA"
"PR","SAO TOME"
"PA","BRAGANCA"
"BA","INHAMBUPE"
"SP","BASTOS"
"SP","PONGAI"
"TO","SITIO NOVO DO TOCANTINS"
"SP","MONTE ALTO"
"MG","NACIP RAYDAN"
"MG","DONA EUZEBIA"
"BA","CICERO DANTAS"
"ES","DIVINO DE SAO LOURENCO"
"BA","SANTA RITA DE CASSIA"
"SP","PANORAMA"
"PR","JARDIM ALEGRE"
"RS","ESTRELA VELHA"
"TO","SUCUPIRA"
"SP","ITAPIRA"
"RS","MATA"
"PE","BARREIROS"
"AL","PARIPUEIRA"
"MT","NOVA SANTA HELENA"
"PR","SARANDI"
"RJ","AREAL"
"MG","PRATAPOLIS"
"MG","ITAMBACURI"
"AM","ITAPIRANGA"
"RS","SANTA MARIA DO HERVAL"
"MA","SAO LUIS"
"CE","MORADA NOVA"
"SP","TAQUARAL"
"BA","LAPAO"
"CE","ALTANEIRA"
"RN","SAO JOSE DE MIPIBU"
"MS","TACURU"
"MG","GALILEIA"
"SP","CAFELANDIA"
"RJ","SEROPEDICA"
"MT","SAPEZAL"
"PE","LAGOA DO OURO"
"RJ","NATIVIDADE"
"PR","SANTA TEREZA DO OESTE"
"RJ","MAGE"
"ES","PRESIDENTE KENNEDY"
"RS","FORMIGUEIRO"
"RN","ACARI"
"PE","ALAGOINHA"
"PB","ASSUNCAO"
"RS","VISTA ALEGRE"
"BA","ALMADINA"
"AL","CARNEIROS"
"MG","MAMONAS"
"CE","PALMACIA"
"RS","VALE DO SOL"
"CE","ITAREMA"
"SP","BURITAMA"
"MG","SANTA MARIA DO SALTO"
"SC","PIRATUBA"
"SP","OSVALDO CRUZ"
"MG","SERRA DO SALITRE"
"MG","FRANCISCOPOLIS"
"SP","PEDRANOPOLIS"
"SC","RIO FORTUNA"
"RS","INHACORA"
"PI","SAO FRANCISCO DO PIAUI"
"RS","GUABIJU"
"SP","TACIBA"
"TO","AURORA DO TOCANTINS"
"RS","TRES CACHOEIRAS"
"SP","SANTA ROSA DE VITERBO"
"BA","NOVA FATIMA"
"PA","CAPANEMA"
"SP","MACAUBAL"
"MG","GUARACIAMA"
"PB","CONDE"
"AL","BARRA DE SANTO ANTONIO"
"MT","NOVA MUTUM"
"MT","CAMPO NOVO DO PARECIS"
"MS","AGUA CLARA"
"RS","SAGRADA FAMILIA"
"PR","PAULO FRONTIN"
"PR","SANTA TEREZINHA DE ITAIPU"
"RO","VILHENA"
"SP","AURIFLAMA"
"SP","MOMBUCA"
"RS","CANDIOTA"
"AM","BENJAMIN CONSTANT"
"PB","PEDRA BRANCA"
"RN","ALMINO AFONSO"
"MG","CORREGO FUNDO"
"MG","OURO BRANCO"
"PB","ALGODAO DE JANDAIRA"
"RS","BARRA DO QUARAI"
"MT","GUIRATINGA"
"PR","ARAPUA"
"GO","ITABERAI"
"PR","JAPURA"
"MT","RIO BRANCO"
"GO","CRISTIANOPOLIS"
"SP","NOVA INDEPENDENCIA"
"PB","MAE D'AGUA"
"RN","CARNAUBA DOS DANTAS"
"RR","NORMANDIA"
"GO","ARAGUAPAZ"
"SP","TAGUAI"
"SP","CORUMBATAI"
"PR","SANTA CECILIA DO PAVAO"
"CE","ARATUBA"
"PI","RIO GRANDE DO PIAUI"
"RS","ENCANTADO"
"RS","NOVA HARTZ"
"PB","BREJO DO CRUZ"
"PR","QUATRO BARRAS"
"PE","LAGOA DO ITAENGA"
"MT","COLIDER"
"PA","SAO MIGUEL DO GUAMA"
"PI","NAZARIA"
"RN","TENENTE ANANIAS"
"BA","IBOTIRAMA"
"SE","CAPELA"
"MG","SENADOR AMARAL"
"PA","SANTAREM"
"PB","AGUA BRANCA"
"MG","BIQUINHAS"
"BA","MORRO DO CHAPEU"
"RS","URUGUAIANA"
"MT","SALTO DO CEU"
"BA","MARAGOGIPE"
"BA","CAEM"
"MG","FRANCISCO SA"
"SP","GUAPIARA"
"RR","PACARAIMA"
"RS","IGREJINHA"
"SC","SAO CARLOS"
"CE","MAURITI"
"BA","CAETANOS"
"PI","LAGOA DO BARRO DO PIAUI"
"SP","TRABIJU"
"BA","PARAMIRIM"
"MG","RUBELITA"
"TO","NOVO JARDIM"
"SP","LUCIANOPOLIS"
"GO","GOIANESIA"
"RS","ROCA SALES"
"RS","MONTE ALEGRE DOS CAMPOS"
"RS","PALMARES DO SUL"
"GO","GUARANI DE GOIAS"
"MA","MAGALHAES DE ALMEIDA"
"SC","SAO DOMINGOS"
"MG","PEDRA DO INDAIA"
"SC","PRESIDENTE NEREU"
"AL","JEQUIA DA PRAIA"
"MG","BOM JESUS DO GALHO"
"SP","FERNANDO PRESTES"
"SP","JERIQUARA"
"MG","CORREGO DANTA"
"SP","NOVA ODESSA"
"PB","NAZAREZINHO"
"AC","BUJARI"
"MG","ITUMIRIM"
"PI","ILHA GRANDE"
"PB","MARCACAO"
"TO","OLIVEIRA DE FATIMA"
"MG","LONTRA"
"MG","SANTA CRUZ DE MINAS"
"ES","CASTELO"
"SC","CORUPA"
"SP","NOVA CAMPINA"
"TO","WANDERLANDIA"
"PR","SANTA MARIA DO OESTE"
"MG","BETIM"
"BA","PONTO NOVO"
"PR","BITURUNA"
"MG","PERIQUITO"
"PR","IGUATU"
"PR","FLORIDA"
"PB","LAGOA"
"GO","BOM JARDIM DE GOIAS"
"MT","DIAMANTINO"
"MG","EUGENOPOLIS"
"RS","CONSTANTINA"
"BA","SANTA INES"
"RS","GAURAMA"
"MG","BOTUMIRIM"
"RN","PEDRO VELHO"
"SP","SANTANA DA PONTE PENSA"
"GO","HIDROLINA"
"PA","CURUA"
"RJ","RIO DAS FLORES"
"SC","CACADOR"
"BA","GANDU"
"MG","DESTERRO DO MELO"
"RS","IVORA"
"SC","BOTUVERA"
"MT","NOVA BRASILANDIA"
"PR","LOANDA"
"MG","ROSARIO DA LIMEIRA"
"RJ","SAO JOSE DO VALE DO RIO PRETO"
"MT","TERRA NOVA DO NORTE"
"RS","CERRO GRANDE"
"GO","MOZARLANDIA"
"RS","NOVO MACHADO"
"PR","SANTA IZABEL DO OESTE"
"PR","CORONEL VIVIDA"
"RJ","CAMPOS DOS GOYTACAZES"
"SE","GRACCHO CARDOSO"
"RO","CACAULANDIA"
"MG","PIEDADE DOS GERAIS"
"SP","TREMEMBE"
"PR","ORTIGUEIRA"
"BA","ITUBERA"
"SE","PROPRIA"
"SP","GUARATINGUETA"
"SP","SANTA ADELIA"
"BA","LAJE"
"RO","BURITIS"
"BA","MUQUEM DE SAO FRANCISCO"
"AM","CAREIRO DA VARZEA"
"MG","FREI LAGONEGRO"
"MG","ARINOS"
"PA","NOVO REPARTIMENTO"
"MG","ROMARIA"
"MG","BARAO DE COCAIS"
"TO","RECURSOLANDIA"
"PI","WALL FERRAZ"
"SP","SAO FRANCISCO"
"RS","ENTRE RIOS DO SUL"
"MA","SAO FELIX DE BALSAS"
"PR","DIAMANTE DO SUL"
"SP","LINDOIA"
"SC","CHAPADAO DO LAGEADO"
"MA","FORTUNA"
"PI","JOSE DE FREITAS"
"RJ","LAJE DO MURIAE"
"PB","DESTERRO"
"MS","VICENTINA"
"MG","SERRA DA SAUDADE"
"MS","AMAMBAI"
"ES","FUNDAO"
"CE","TABULEIRO DO NORTE"
"SC","HERVAL D'OESTE"
"BA","SANTA TERESINHA"
"PB","DAMIAO"
"MG","PEDRAS DE MARIA DA CRUZ"
"RS","MACHADINHO"
"PR","ALMIRANTE TAMANDARE"
"MG","SAO JOAO BATISTA DO GLORIA"
"GO","RIANAPOLIS"
"MG","JAGUARACU"
"GO","CIDADE OCIDENTAL"
"PI","ITAUEIRA"
"PI","ALAGOINHA DO PIAUI"
"MG","BARRA LONGA"
"MA","SAO FRANCISCO DO MARANHAO"
"BA","SALVADOR"
"PR","QUITANDINHA"
"GO","AGUA LIMPA"
"SE","ITAPORANGA D'AJUDA"
"MG","SAO DOMINGOS DO PRATA"
"RS","TRIUNFO"
"RS","PINHAL DA SERRA"
"ES","RIO NOVO DO SUL"
"RO","MIRANTE DA SERRA"
"RJ","PORTO REAL"
"SP","CAMPO LIMPO PAULISTA"
"PB","CACIMBAS"
"TO","RIACHINHO"
"SP","RIBEIRAO BONITO"
"SP","IGARAPAVA"
"PI","GUADALUPE"
"PB","CASSERENGUE"
"MG","ITUIUTABA"
"MG","ALVARENGA"
"SP","PINDORAMA"
"SP","BADY BASSITT"
"PR","MARIALVA"
"GO","PONTALINA"
"PR","CAMPINA GRANDE DO SUL"
"AC","CAPIXABA"
"PR","IVAIPORA"
"BA","MILAGRES"
"MG","BONITO DE MINAS"
"MA","MONTES ALTOS"
"RO","SERINGUEIRAS"
"RS","PALMITINHO"
"SP","BOM JESUS DOS PERDOES"
"RS","TOROPI"
"SP","ITABERA"
"PA","REDENCAO"
"PI","CAMPO MAIOR"
"SE","JAPOATA"
"RS","MINAS DO LEAO"
"TO","PUGMIL"
"SP","NOVA LUZITANIA"
"RJ","TRES RIOS"
"PE","TACAIMBO"
"MG","SAO PEDRO DOS FERROS"
"MG","MIRAVANIA"
"MA","JATOBA"
"BA","CASTRO ALVES"
"PR","PALMEIRA"
"SP","CARAGUATATUBA"
"MG","CONQUISTA"
"PB","PAULISTA"
"PR","MARUMBI"
"PA","COLARES"
"MG","DESCOBERTO"
"SP","DIRCE REIS"
"MT","LUCAS DO RIO VERDE"
"MG","GONZAGA"
"SP","GUARAREMA"
"SP","NEVES PAULISTA"
"AL","PINDOBA"
"SP","TAIUVA"
"RJ","CACHOEIRAS DE MACACU"
"BA","FIRMINO ALVES"
"MA","ARARI"
"PI","ACAUA"
"RS","PONTAO"
"CE","CAUCAIA"
"PI","SIMOES"
"SC","TIMBO GRANDE"
"AM","SANTA ISABEL DO RIO NEGRO"
"BA","ITACARE"
"PB","BONITO DE SANTA FE"
"PE","ITAIBA"
"CE","IBARETAMA"
"MG","DIVISOPOLIS"
"PB","RIACHAO DO BACAMARTE"
"SP","TAUBATE"
"GO","FIRMINOPOLIS"
"TO","CARRASCO BONITO"
"SP","CAPAO BONITO"
"RN","RAFAEL FERNANDES"
"TO","RIO DA CONCEICAO"
"TO","XAMBIOA"
"PB","RIACHAO"
"SP","DIADEMA"
"ES","GUACUI"
"SP","JACUPIRANGA"
"SP","MERIDIANO"
"PE","CUSTODIA"
"BA","ITARANTIM"
"PE","ITAMBE"
"BA","SALINAS DA MARGARIDA"
"PI","CURRAL NOVO DO PIAUI"
"PR","SERRANOPOLIS DO IGUACU"
"MA","LAGOA GRANDE DO MARANHAO"
"SP","TATUI"
"RS","JACUIZINHO"
"PA","TUCURUI"
"MS","BRASILANDIA"
"MA","NOVA OLINDA DO MARANHAO"
"RO","PIMENTA BUENO"
"MG","GURINHATA"
"MG","CAPELINHA"
"PR","FOZ DO JORDAO"
"PI","SAO GONCALO DO GURGUEIA"
"SP","PALMARES PAULISTA"
"MS","PARANAIBA"
"MA","IGARAPE GRANDE"
"MT","NOVA MONTE VERDE"
"RN","CRUZETA"
"PB","SANTANA DE MANGUEIRA"
"RO","COLORADO DO OESTE"
"MG","SAO SEBASTIAO DO RIO VERDE"
"RS","VALE REAL"
"PI","SAO JOAO DO ARRAIAL"
"RS","NOVO BARREIRO"
"MG","CAETE"
"RS","PAULO BENTO"
"RS","NOVO TIRADENTES"
"PE","RIO FORMOSO"
"RR","SAO LUIZ"
"RN","TRIUNFO POTIGUAR"
"MG","RIO PIRACICABA"
"PR","ARAPOTI"
"SP","SANDOVALINA"
"MA","COLINAS"
"MA","TURIACU"
"PR","FLOR DA SERRA DO SUL"
"RO","JARU"
"AL","BELEM"
"MG","CAMBUI"
"GO","GUARINOS"
"RN","MARTINS"
"MT","DOM AQUINO"
"RN","PARAZINHO"
"RS","SAO VALERIO DO SUL"
"MG","ENTRE RIOS DE MINAS"
"RJ","CORDEIRO"
"PR","RIO BONITO DO IGUACU"
"PE","PETROLANDIA"
"SP","BARAO DE ANTONINA"
"SP","SAO MANUEL"
"PR","CAFEARA"
"CE","CRATEUS"
"MG","SANTO ANTONIO DO ITAMBE"
"MG","BRASILIA DE MINAS"
"MG","CAPIM BRANCO"
"PR","MANGUEIRINHA"
"RS","LAVRAS DO SUL"
"RJ","VASSOURAS"
"PA","SAO JOAO DO ARAGUAIA"
"SC","ALTO BELA VISTA"
"BA","SAUBARA"
"SE","DIVINA PASTORA"
"GO","ARAGARCAS"
"SP","BREJO ALEGRE"
"SC","FORMOSA DO SUL"
"MG","FERNANDES TOURINHO"
"MG","ITUETA"
"GO","MINACU"
"PE","PANELAS"
"RN","UPANEMA"
"SC","PONTE ALTA DO NORTE"
"MG","SANTANA DA VARGEM"
"SC","BLUMENAU"
"PR","FRANCISCO BELTRAO"
"SP","FERRAZ DE VASCONCELOS"
"SP","PIRASSUNUNGA"
"PA","ITUPIRANGA"
"PR","CEU AZUL"
"PI","PAES LANDIM"
"MG","LAGOA DA PRATA"
"RS","CAMPO BOM"
"RJ","DUQUE DE CAXIAS"
"PB","CAICARA"
"MA","BACURITUBA"
"PR","CHOPINZINHO"
"MA","FERNANDO FALCAO"
"RJ","MANGARATIBA"
"PB","PICUI"
"TO","PALMEIRAS DO TOCANTINS"
"MG","CARANGOLA"
"RJ","ITAPERUNA"
"SE","PORTO DA FOLHA"
"SC","CUNHA PORA"
"SP","ICEM"
"PR","TUNAS DO PARANA"
"MG","SETUBINHA"
"MG","SERRANOPOLIS DE MINAS"
"MG","IBITIURA DE MINAS"
"RS","ALPESTRE"
"BA","BARRA DO CHOCA"
"MA","GOVERNADOR LUIZ ROCHA"
"AL","CAMPO GRANDE"
"MG","CARAI"
"SE","UMBAUBA"
"PB","SERRA BRANCA"
"PR","SAO JOSE DA BOA VISTA"
"MS","SANTA RITA DO PARDO"
"MG","CUPARAQUE"
"PB","SERTAOZINHO"
"BA","PLANALTINO"
"RN","PARELHAS"
"SP","SANTA CRUZ DAS PALMEIRAS"
"MT","JACIARA"
"SC","GAROPABA"
"MA","MARACACUME"
"PR","ARAPONGAS"
"BA","TREMEDAL"
"PR","TOLEDO"
"RJ","PARAIBA DO SUL"
"RS","ROSARIO DO SUL"
"PR","SALTO DO ITARARE"
"SE","AREIA BRANCA"
"SC","CAPINZAL"
"GO","BOM JESUS"
"SP","VALINHOS"
"RN","MARCELINO VIEIRA"
"PE","MORENO"
"AL","CAMPO ALEGRE"
"RN","PEDRA PRETA"
"SP","MACEDONIA"
"RN","SANTO ANTONIO"
"AM","MANAQUIRI"
"GO","LEOPOLDO DE BULHOES"
"RS","SAO JOSE DOS AUSENTES"
"MG","POCRANE"
"RS","ALEGRETE"
"SE","CEDRO DE SAO JOAO"
"SE","MALHADA DOS BOIS"
"PR","JESUITAS"
"RS","MONTE BELO DO SUL"
"PR","MANDIRITUBA"
"ES","JAGUARE"
"RJ","CONCEICAO DE MACABU"
"MA","CARUTAPERA"
"PR","CANDOI"
"BA","GUANAMBI"
"MG","URUCANIA"
"SP","CAIABU"
"AM","ANORI"
"PR","NOVA CANTU"
"GO","CAMPOS BELOS"
"PB","SOLEDADE"
"GO","INACIOLANDIA"
"AM","TABATINGA"
"SC","GOVERNADOR CELSO RAMOS"
"MT","GLORIA D'OESTE"
"PE","PEDRA"
"MG","CORACAO DE JESUS"
"MG","TUPACIGUARA"
"MT","BOM JESUS DO ARAGUAIA"
"MA","MIRANDA DO NORTE"
"PR","SERTANEJA"
"MG","PASSA VINTE"
"PA","ELDORADO DOS CARAJAS"
"SP","SAO JOAQUIM DA BARRA"
"SP","JAU"
"PR","BOA VISTA DA APARECIDA"
"PB","SERRA GRANDE"
"SP","CATIGUA"
"PB","AREIA DE BARAUNAS"
"TO","NATIVIDADE"
"BA","JUAZEIRO"
"TO","ARAGUACEMA"
"SC","LUZERNA"
"SP","IPIGUA"
"SP","URU"
"RS","SANTA CECILIA DO SUL"
"SP","PENAPOLIS"
"RS","TRES PALMEIRAS"
"ES","CARIACICA"
"RS","IJUI"
"MS","JATEI"
"RS","ARROIO DO SAL"
"RR","BOA VISTA"
"PB","PARARI"
"MG","SAO DOMINGOS DAS DORES"
"MG","NAQUE"
"PR","CARLOPOLIS"
"AL","JUNDIA"
"PR","BARRACAO"
"MG","MANHUMIRIM"
"SP","MONGAGUA"
"PI","BOM PRINCIPIO DO PIAUI"
"RJ","NOVA IGUACU"
"CE","FORQUILHA"
"MG","POTE"
"SP","IPAUSSU"
"SP","VALENTIM GENTIL"
"PR","CAPANEMA"
"ES","ANCHIETA"
"CE","ITAITINGA"
"SP","AVAI"
"SC","BALNEARIO GAIVOTA"
"MG","SANTA LUZIA"
"AL","OLHO D'AGUA DO CASADO"
"MG","LEOPOLDINA"
"PB","BOA VISTA"
"PR","TERRA RICA"
"SE","SIMAO DIAS"
"SP","PIQUEROBI"
"TO","MARIANOPOLIS DO TOCANTINS"
"MG","SENHORA DE OLIVEIRA"
"MG","SANTA RITA DE IBITIPOCA"
"PI","SANTA CRUZ DO PIAUI"
"GO","LUZIANIA"
"SP","BEBEDOURO"
"PE","SANHARO"
"SP","POMPEIA"
"PR","ITAGUAJE"
"TO","PAU D'ARCO"
"BA","BONITO"
"MS","ARAL MOREIRA"
"PE","CALUMBI"
"MG","CARMOPOLIS DE MINAS"
"SC","PRINCESA"
"PI","GILBUES"
"MG","ESTRELA DO INDAIA"
"AL","SAO LUIS DO QUITUNDE"
"RN","TOUROS"
"CE","MARCO"
"MG","PIEDADE DO RIO GRANDE"
"BA","ITAPITANGA"
"PI","JOCA MARQUES"
"SE","TOBIAS BARRETO"
"MG","BURITIS"
"MG","VERMELHO NOVO"
"SP","JUNDIAI"
"SC","IRINEOPOLIS"
"PB","BARRA DE SANTANA"
"RJ","ITAOCARA"
"RS","JOIA"
"BA","ARATUIPE"
"RS","CAMPESTRE DA SERRA"
"RS","MOSTARDAS"
"AL","JACUIPE"
"GO","IVOLANDIA"
"PB","CACIMBA DE DENTRO"
"PA","PLACAS"
"MA","VITORINO FREIRE"
"SP","MORRO AGUDO"
"PR","CAMBE"
"RS","ITATIBA DO SUL"
"TO","ITAPIRATINS"
"MT","SANTO ANTONIO DO LEVERGER"
"SP","NUPORANGA"
"RO","NOVA BRASILANDIA D'OESTE"
"PI","FRANCINOPOLIS"
"BA","ITABELA"
"MG","VIRGEM DA LAPA"
"RS","PASSA SETE"
"SP","TANABI"
"SP","OURINHOS"
"PB","CATURITE"
"MG","TRES CORACOES"
"PR","PAULA FREITAS"
"BA","MARCIONILIO SOUZA"
"MG","CONCEICAO DAS PEDRAS"
"TO","LUZINOPOLIS"
"SP","ANALANDIA"
"MS","NIOAQUE"
"GO","TRES RANCHOS"
"AM","ATALAIA DO NORTE"
"PB","BOM JESUS"
"MG","DIVISA ALEGRE"
"PA","VIGIA"
"MG","DELFINOPOLIS"
"SP","CAMPINAS"
"SP","COLOMBIA"
"GO","DIVINOPOLIS DE GOIAS"
"MG","ARACAI"
"SP","GUARARAPES"
"MS","SIDROLANDIA"
"BA","AMERICA DOURADA"
"MG","ANTONIO PRADO DE MINAS"
"BA","LUIS EDUARDO MAGALHAES"
"MG","MADRE DE DEUS DE MINAS"
"PR","CASTRO"
"GO","TRINDADE"
"GO","SANCLERLANDIA"
"RN","JACANA"
"MA","CAPINZAL DO NORTE"
"PR","SAO JERONIMO DA SERRA"
"CE","ITAPAJE"
"SP","TIETE"
"PB","SAO JOAO DO CARIRI"
"MG","ARAXA"
"RS","ARROIO DO MEIO"
"PE","RECIFE"
"PR","GRANDES RIOS"
"MA","RIACHAO"
"RS","BOM JESUS"
"RS","WESTFALIA"
"PA","PEIXE-BOI"
"GO","JATAI"
"SP","AGUAS DA PRATA"
"PR","MANOEL RIBAS"
"SE","SANTA LUZIA DO ITANHY"
"SC","GARUVA"
"MG","CABO VERDE"
"GO","JUSSARA"
"CE","PARAMBU"
"PR","SAO JOAO DO TRIUNFO"
"MG","SANTO ANTONIO DO RIO ABAIXO"
"BA","MASCOTE"
"SP","POTIRENDABA"
"AL","PALMEIRA DOS INDIOS"
"SP","MOGI MIRIM"
"PR","CALIFORNIA"
"MG","BAEPENDI"
"CE","JAGUARUANA"
"RS","TABAI"
"ES","MUNIZ FREIRE"
"CE","ITAPIUNA"
"PE","SURUBIM"
"CE","JARDIM"
"BA","RETIROLANDIA"
"AM","COARI"
"RS","FORTALEZA DOS VALOS"
"SP","ARACATUBA"
"PI","DOM EXPEDITO LOPES"
"PA","IPIXUNA DO PARA"
"SP","INDAIATUBA"
"MG","MALACACHETA"
"PR","ANTONINA"
"MS","GLORIA DE DOURADOS"
"CE","TRAIRI"
"RR","IRACEMA"
"PB","COXIXOLA"
"PB","SAO SEBASTIAO DO UMBUZEIRO"
"MA","PEDRO DO ROSARIO"
"AL","SENADOR RUI PALMEIRA"
"SC","CORONEL MARTINS"
"SE","SANTO AMARO DAS BROTAS"
"SC","BRACO DO NORTE"
"SP","TUIUTI"
"SP","BORA"
"RS","HUMAITA"
"PB","LASTRO"
"RS","BARRA FUNDA"
"SP","EMBU DAS ARTES"
"ES","VENDA NOVA DO IMIGRANTE"
"BA","TEIXEIRA DE FREITAS"
"GO","SANTA CRUZ DE GOIAS"
"SP","TAIACU"
"PI","URUCUI"
"CE","POTIRETAMA"
"PA","CACHOEIRA DO ARARI"
"BA","JUSSARI"
"EX","EXTERIOR"
"SC","PARAISO"
"SE","BREJO GRANDE"
"MA","SAO BENTO"
"RN","CARAUBAS"
"SP","GUAICARA"
"RN","FRANCISCO DANTAS"
"RN","SEVERIANO MELO"
"RJ","CAMBUCI"
"SP","AMERICANA"
"SC","VARGEM BONITA"
"SP","NARANDIBA"
"SP","REDENCAO DA SERRA"
"MS","NOVA ANDRADINA"
"SP","MORUNGABA"
"PB","MARIZOPOLIS"
"MG","BOCAIUVA"
"GO","EDEALINA"
"PA","MARAPANIM"
"BA","SENTO SE"
"BA","ALAGOINHAS"
"AM","SILVES"
"SP","CANANEIA"
"BA","GENTIO DO OURO"
"MA","PARAIBANO"
"SC","MAJOR VIEIRA"
"MG","MONSENHOR PAULO"
"MT","SANTA CARMEM"
"PR","ALVORADA DO SUL"
"RS","GUARANI DAS MISSOES"
"BA","BOA NOVA"
"PR","PORECATU"
"SE","ILHA DAS FLORES"
"TO","NAZARE"
"SP","SAO PEDRO"
"RS","ITATI"
"SC","PALHOCA"
"ES","PEDRO CANARIO"
"PA","SAO GERALDO DO ARAGUAIA"
"TO","FORTALEZA DO TABOCAO"
"RN","SAO BENTO DO TRAIRI"
"ES","SOORETAMA"
"MA","ARAGUANA"
"MG","SAO JOSE DA SAFIRA"
"PR","NOVA ESPERANCA"
"MS","CORUMBA"
"BA","FATIMA"
"PA","SAO CAETANO DE ODIVELAS"
"PA","BREJO GRANDE DO ARAGUAIA"
"PR","FRANCISCO ALVES"
"MG","POMPEU"
"PI","PORTO"
"PI","CAPITAO GERVASIO OLIVEIRA"
"TO","BARROLANDIA"
"MG","PIRAUBA"
"AP","FERREIRA GOMES"
"GO","PETROLINA DE GOIAS"
"MG","CORINTO"
"PA","ANAPU"
"MA","ITINGA DO MARANHAO"
"SE","SAO DOMINGOS"
"RS","LAJEADO DO BUGRE"
"PR","PAICANDU"
"MG","CARBONITA"
"BA","BARRO ALTO"
"MA","SAO RAIMUNDO DAS MANGABEIRAS"
"SP","GUARIBA"
"RS","BOA VISTA DO BURICA"
"CE","SENADOR SA"
"AM","URUCURITUBA"
"MA","BURITICUPU"
"RJ","NITEROI"
"AM","SAO GABRIEL DA CACHOEIRA"
"MG","ITAPAGIPE"
"PB","MARI"
"MG","SANTO HIPOLITO"
"AL","PARICONHA"
"MG","CORREGO DO BOM JESUS"
"MT","SAO PEDRO DA CIPA"
"CE","BARBALHA"
"PR","SANTA AMELIA"
"PA","BAIAO"
"SC","FLOR DO SERTAO"
"PA","GURUPA"
"SP","PARAGUACU PAULISTA"
"RS","SOBRADINHO"
"GO","CACU"
"PI","PADRE MARCOS"
"SP","OURO VERDE"
"RS","NOVA PRATA"
"RS","CERRO LARGO"
"PA","ORIXIMINA"
"RS","NOVA SANTA RITA"
"PE","SAO JOSE DA COROA GRANDE"
"SC","ARROIO TRINTA"
"MA","OLINDA NOVA DO MARANHAO"
"MS","IGUATEMI"
"MA","LAGO DA PEDRA"
"MA","PRIMEIRA CRUZ"
"PI","BOCAINA"
"PR","IBEMA"
"PB","SANTA HELENA"
"RS","JAGUARAO"
"MG","ILICINEA"
"SC","BARRA VELHA"
"CE","GRANJEIRO"
"MG","CLARO DOS POCOES"
"RS","COQUEIROS DO SUL"
"GO","NOVA IGUACU DE GOIAS"
"BA","SANTA BARBARA"
"MG","SANTANA DOS MONTES"
"SE","ESTANCIA"
"RS","SANTO AUGUSTO"
"MG","FELISBURGO"
"RS","RIO DOS INDIOS"
"RS","SEGREDO"
"SC","WITMARSUM"
"AM","TAPAUA"
"MA","SANTO ANTONIO DOS LOPES"
"MG","UBA"
"MG","BELMIRO BRAGA"
"PE","BOM JARDIM"
"SC","CAMPO ERE"
"RO","ALTA FLORESTA D'OESTE"
"PR","BOM SUCESSO"
"GO","EDEIA"
"TO","MIRANORTE"
"PI","JUREMA"
"AM","MAUES"
"CE","SANTA QUITERIA"
"MS","COXIM"
"MA","BOM JARDIM"
"PB","MONTEIRO"
"RN","AREIA BRANCA"
"PI","FRANCISCO MACEDO"
"SP","ARACARIGUAMA"
"PI","COCAL DOS ALVES"
"SP","SAO CARLOS"
"RJ","DUAS BARRAS"
"MG","ARCOS"
"BA","SAO DESIDERIO"
"SP","SAO JOSE DO BARREIRO"
"PA","JURUTI"
"MG","SAO JOSE DO MANTIMENTO"
"SP","LORENA"
"RJ","QUISSAMA"
"MG","MATIAS CARDOSO"
"TO","SAO FELIX DO TOCANTINS"
"MG","SANTA FE DE MINAS"
"SP","MIRANTE DO PARANAPANEMA"
"MS","LAGUNA CARAPA"
"RS","REDENTORA"
"SE","SAO FRANCISCO"
"AM","JURUA"
"MA","CHAPADINHA"
"PI","SAO FELIX DO PIAUI"
"BA","CENTRAL"
"PE","JABOATAO DOS GUARARAPES"
"SC","LUIZ ALVES"
"SP","MAGDA"
"PI","VARZEA GRANDE"
"BA","PINDOBACU"
"MA","SANTA INES"
"GO","SANTA TEREZINHA DE GOIAS"
"RJ","VALENCA"
"PB","JUAREZ TAVORA"
"BA","SAO FELIX DO CORIBE"
"SP","ITATINGA"
"GO","GOUVELANDIA"
"RN","SANTA MARIA"
"PE","MOREILANDIA"
"SC","TUBARAO"
"MG","ALMENARA"
"MG","RESPLENDOR"
"MG","BAMBUI"
"MG","FREI INOCENCIO"
"ES","CONCEICAO DA BARRA"
"PR","BOM JESUS DO SUL"
"MG","TRES PONTAS"
"RS","ESTACAO"
"PI","SAO MIGUEL DA BAIXA GRANDE"
"BA","RODELAS"
"AM","FONTE BOA"
"MG","GUARACIABA"
"SC","GALVAO"
"MA","SAO RAIMUNDO DO DOCA BEZERRA"
"MG","DIOGO DE VASCONCELOS"
"PI","SAO JULIAO"
"BA","CONCEICAO DO COITE"
"PR","SANTA MARIANA"
"SP","SAO ROQUE"
"RS","IVOTI"
"PE","ARCOVERDE"
"AM","CAREIRO"
"MG","DORES DE CAMPOS"
"MS","RIBAS DO RIO PARDO"
"MG","JEQUERI"
"SC","PALMEIRA"
"RS","ESPERANCA DO SUL"
"SP","PONTAL"
"PA","SANTA MARIA DO PARA"
"MT","CONFRESA"
"BA","JEQUIE"
"AL","CAJUEIRO"
"RN","BARCELONA"
"SP","FRANCO DA ROCHA"
"SC","JOSE BOITEUX"
"CE","SANTANA DO CARIRI"
"MT","CAMPO VERDE"
"PB","ARARA"
"RS","BARRACAO"
"BA","ERICO CARDOSO"
"BA","PAULO AFONSO"
"MG","COROMANDEL"
